key,de-DE,en-US
server.config.parameter.system.citizenarchives-criterias.rate_limiting_enabled.label,Ratenlimitierung,Rate limiting
server.config.parameter.system.citizenarchives-criterias.rate_limiting_enabled.label|hint,"Anschalten um Bots zu verhindern, indem Einträge getaggt werden, wenn zu viele in zu kurzer Zeit abgegeben werden.","Turn on to prevent bots by tagging entries if too many are submitted in a short period."
server.config.parameter.system.citizenarchives-criterias.rate_limiting_enabled.checkbox,an,on

server.config.parameter.system.citizenarchives-criterias.nongerman_flag_enabled.label,Nicht in Deutscher Sprache,Not in German language
server.config.parameter.system.citizenarchives-criterias.nongerman_flag_enabled.label|hint,"Ob Einträge automatisch getaggt werden, wenn erkannt wird, dass sie nicht in deutscher Sprache erfasst wurden.","Whether entries are automatically tagged when it is detected that they were not written in the German language."
server.config.parameter.system.citizenarchives-criterias.nongerman_flag_enabled.checkbox,Zur Überprüfung markieren/Tag setzen,flag





server.config.name.system.citizenarchives-misc,Sonstige Einstellungen,Misc settings

server.config.parameter.system.citizenarchives-misc.preset_blocklist.label,Vorgegebene Blockliste,Preset blocklist
server.config.parameter.system.citizenarchives-misc.preset_blocklist.label|hint,"Kommt eines dieser Wörter im Texteintrag vor, wird er getaggt.","If any of these words are present in the text entry, it will be tagged."
server.config.parameter.system.citizenarchives-misc.own_blocklist.label,Eigene Blockliste (1 Eintrag pro Zeile),Custom blocklist (1 entry per line)
server.config.parameter.system.citizenarchives-misc.own_blocklist.label|hint,"Kommt eines dieser Wörter im Texteintrag vor, wird er getaggt.","If any of these words are present in the text entry, it will be tagged."

server.config.parameter.system.citizenarchives-misc.openai_apikey.label,API Key für OpenAI,OpenAI API Key
server.config.parameter.system.citizenarchives-misc.openai_apikey.label|hint,Zum Abrechnen der Anfragen von ChatGPT.,...

server.config.parameter.system.citizenarchives-misc.detectlanguage_apikey.label,API Key für detectlanguage.com,DetectLanguage.com API Key
server.config.parameter.system.citizenarchives-misc.detectlanguage_apikey.label|hint,Zum Abrechnen der Anfragen an detectlanguage.com (frei bis 1000 Anfragen pro Tag).,...




server.config.name.system.citizenarchives-testing,Evaluierung testen,Test the evaluation

server.config.parameter.system.citizenarchives-testing.testfield.label,Testfeld,Test area
server.config.parameter.system.citizenarchives-testing.testfield.button.label,Testen,test







_server.config.name.system.citizenarchives-secrets,API Schlüssel,API Keys






citizenarchives.user.plugin.tab-text,Citizen Archives,Citizen Archives

citizenarchives.user.plugin.form.id.label,Anzahl schon getaggter Beiträge,Amount of already tagged posts
citizenarchives.user.plugin.form.id.hint.md,"Auf 0 zurücksetzen, um dem Nutzer wieder eine weiße Weste zu geben. Auf 1000 setzen, um alle zukünftigen Beiträge des Nutzers automatisch zu taggen.","Reset to 0 to give the user a clean slate. Set to 1000 to automatically tag all future posts by the user."

citizenarchives.user.plugin.form.nday.label,Beiträge an diesem Tag,Posts on this day
citizenarchives.user.plugin.form.nhour.label,Beiträge in dieser Stunde,Posts in this hour
citizenarchives.user.plugin.form.nminute.label,Beiträge in dieser Minute,Posts in this minute
citizenarchives.user.plugin.form.sday.label,Tag,Day
citizenarchives.user.plugin.form.shour.label,Stunde,Hour
citizenarchives.user.plugin.form.sminute.label,Minute,Minute

citizenarchives.user.plugin.form.hint.dontchange,Bitte nicht ändern.,Please don't edit.
